"You request for product %1 accepted for review!","You request for product %1 accepted for review!"
"Your request can't be sent. Please, contact us if you see this message.","Your request can't be sent. Please, contact us if you see this message."
"Loyalty program for Regular Customers","Loyalty program for Regular Customers"
"Customers who buy products multiple times get a discount when buying multiple items. Only registered customers will get discounts","Customers who buy products multiple times get a discount when buying multiple items. Only registered customers will get discounts"
Name,Name
Email,Email
"Send Request","Send Request"
"Requested product:","Requested product:"
"Personal Discount","Personal Discount"
"Loyalty Program","Loyalty Program"
"My Requests","My Requests"
